folder,classification,purpose,owner_subsystem,direct_file_count,recursive_file_count,dependencies,importance,recommendation
dashboard/.next/server/app/es/interactive.segments/$d$lang/interactive,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/learn.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/learn.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/learn.segments/$d$lang/learn,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/mathematics.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/mathematics.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/mathematics.segments/$d$lang/mathematics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/physics.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/physics.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/physics.segments/$d$lang/physics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/quantum.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/quantum.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/quantum.segments/$d$lang/quantum,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/satellite.segments,Core Product,Core Product folder under dashboard,dashboard,5,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/satellite.segments/$d$lang,Core Product,Core Product folder under dashboard,dashboard,1,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/es/satellite.segments/$d$lang/satellite,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/favicon.ico,Core Product,Core Product folder under dashboard,dashboard,3,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/favicon.ico/route,Core Product,Core Product folder under dashboard,dashboard,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/index.segments,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/learn,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/learn.segments,Core Product,Core Product folder under dashboard,dashboard,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/learn.segments/learn,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/learn/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/mathematics,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/mathematics.segments,Core Product,Core Product folder under dashboard,dashboard,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/mathematics.segments/mathematics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/mathematics/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/physics,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/physics.segments,Core Product,Core Product folder under dashboard,dashboard,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/physics.segments/physics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/physics/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/quantum,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/quantum.segments,Core Product,Core Product folder under dashboard,dashboard,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/quantum.segments/quantum,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/quantum/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/satellite,Core Product,Core Product folder under dashboard,dashboard,4,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/satellite.segments,Core Product,Core Product folder under dashboard,dashboard,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/satellite.segments/satellite,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/app/satellite/page,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/chunks,Core Product,Core Product folder under dashboard,dashboard,8,248,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/chunks/ssr,Core Product,Core Product folder under dashboard,dashboard,240,240,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/server/pages,Core Product,Core Product folder under dashboard,dashboard,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/static,Core Product,Core Product folder under dashboard,dashboard,0,104,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/static/9G6HKhtgaLiX8VTlQZa9O,Core Product,Core Product folder under dashboard,dashboard,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/static/chunks,Core Product,Core Product folder under dashboard,dashboard,33,33,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/static/media,Core Product,Core Product folder under dashboard,dashboard,68,68,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/.next/types,Core Product,Core Product folder under dashboard,dashboard,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/e2e,Testing,Testing folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/public,Core Product,Core Product folder under dashboard,dashboard,5,128,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/public/artifacts,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,0,123,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/baselines,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/benchmarks,Testing,Testing folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/public/artifacts/discoveries,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,21,21,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/embeddings,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/experiments,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/history,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/sessions,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,79,89,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/sessions/experiment_001,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/sessions/experiment_002,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/public/artifacts/telemetry,Generated Artifacts,Generated Artifacts folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
dashboard/screenshots,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src,Core Product,Core Product folder under dashboard,dashboard,0,137,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app,Core Product,Core Product folder under dashboard,dashboard,4,28,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang],Core Product,Core Product folder under dashboard,dashboard,1,18,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/compare,Core Product,Core Product folder under dashboard,dashboard,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/dashboard,Core Product,Core Product folder under dashboard,dashboard,1,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/dashboard/benchmark,Testing,Testing folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/dashboard/log,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/dashboard/roadmap,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/dashboard/scientific-log,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/dashboard/timeline,Core Product,Core Product folder under dashboard,dashboard,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/discoveries,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/interactive,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/learn,Core Product,Core Product folder under dashboard,dashboard,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/mathematics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/physics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/quantum,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/[lang]/satellite,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/discoveries,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/learn,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/mathematics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/physics,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/quantum,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/app/satellite,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components,Core Product,Core Product folder under dashboard,dashboard,0,77,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components/cinematic,Core Product,Core Product folder under dashboard,dashboard,7,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components/dashboard,Core Product,Core Product folder under dashboard,dashboard,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components/educational,Core Product,Core Product folder under dashboard,dashboard,9,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components/interactive,Core Product,Core Product folder under dashboard,dashboard,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components/layout,Core Product,Core Product folder under dashboard,dashboard,7,7,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components/motion,Core Product,Core Product folder under dashboard,dashboard,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components/scientific,Core Product,Core Product folder under dashboard,dashboard,29,29,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/components/ui,Core Product,Core Product folder under dashboard,dashboard,11,11,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/constants,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/data,Core Product,Core Product folder under dashboard,dashboard,14,14,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/hooks,Core Product,Core Product folder under dashboard,dashboard,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/lib,Core Product,Core Product folder under dashboard,dashboard,0,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/lib/i18n,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/lib/realtime,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/lib/utils,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/stores,Core Product,Core Product folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/src/types,Core Product,Core Product folder under dashboard,dashboard,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
dashboard/test-results,Testing,Testing folder under dashboard,dashboard,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
data,Research,Research folder under <root>,<root>,4,4,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
databases,Generated Artifacts,Generated Artifacts folder under <root>,<root>,11,11,see DOMAIN_DEPENDENCY_REPORT.md,Low,Archive or move under owning domain; do not delete without approval
datasets,Research,Research folder under <root>,<root>,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
docs,Documentation,Cross-domain documentation and reports,<root>,330,330,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
figures,Generated Artifacts,Generated Artifacts folder under <root>,<root>,19,19,see DOMAIN_DEPENDENCY_REPORT.md,Low,Archive or move under owning domain; do not delete without approval
mathematics,Research,Formal mathematics roadmap,<root>,1,2,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
mathematics/symbolic,Research,Research folder under mathematics,mathematics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
outputs,Generated Artifacts,Generated Artifacts folder under <root>,<root>,0,6,see DOMAIN_DEPENDENCY_REPORT.md,Low,Archive or move under owning domain; do not delete without approval
outputs/20260601_181428_DVRFa6,Generated Artifacts,Generated Artifacts folder under outputs,outputs,3,3,see DOMAIN_DEPENDENCY_REPORT.md,Low,Archive or move under owning domain; do not delete without approval
outputs/20260601_183744_cUWRpJ,Generated Artifacts,Generated Artifacts folder under outputs,outputs,3,3,see DOMAIN_DEPENDENCY_REPORT.md,Low,Archive or move under owning domain; do not delete without approval
papers,Documentation,Publication assets,<root>,1,12,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
papers/qg,Documentation,Documentation folder under papers,papers,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
papers/system,Documentation,Documentation folder under papers,papers,9,9,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
papers/thermal,Documentation,Documentation folder under papers,papers,1,1,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
physics,Research,Neurosymbolic physics and AI4Science research,<root>,108,880,see DOMAIN_DEPENDENCY_REPORT.md,Medium,Keep
physics/action_reconstruction,Research,Research folder under physics,physics,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/adapters,Research,Research folder under physics,physics,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/agents,Research,Research folder under physics,physics,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/artifacts,Generated Artifacts,Generated Artifacts folder under physics,physics,215,329,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/experiments,Generated Artifacts,Generated Artifacts folder under physics,physics,8,8,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/experiments_archive,Generated Artifacts,Generated Artifacts folder under physics,physics,43,43,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/logs_y_reportes,Generated Artifacts,Generated Artifacts folder under physics,physics,6,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/migrations,Generated Artifacts,Generated Artifacts folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs,Generated Artifacts,Generated Artifacts folder under physics,physics,0,24,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs/20260524_180152_cFvZaI,Generated Artifacts,Generated Artifacts folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs/20260524_180327_rDFO3r,Generated Artifacts,Generated Artifacts folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs/20260524_180439_Wye1C4,Generated Artifacts,Generated Artifacts folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs/20260525_174118_5jPp6q,Generated Artifacts,Generated Artifacts folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs/20260525_174613_HCyVIO,Generated Artifacts,Generated Artifacts folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs/20260525_175035_aMn83x,Generated Artifacts,Generated Artifacts folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs/20260525_175453_GdmbdH,Generated Artifacts,Generated Artifacts folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/outputs/20260525_175919_aMn83x,Generated Artifacts,Generated Artifacts folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/phase8_flags,Generated Artifacts,Generated Artifacts folder under physics,physics,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/results,Testing,Testing folder under physics,physics,5,16,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/artifacts/results/harmonic,Generated Artifacts,Generated Artifacts folder under physics,physics,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/results/phase8_flags,Generated Artifacts,Generated Artifacts folder under physics,physics,0,0,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/results/phase8_logs,Generated Artifacts,Generated Artifacts folder under physics,physics,0,0,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/results/phase8a,Generated Artifacts,Generated Artifacts folder under physics,physics,0,0,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/results/phase8b,Generated Artifacts,Generated Artifacts folder under physics,physics,0,0,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/results/phase8c,Generated Artifacts,Generated Artifacts folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/results/phase8e,Generated Artifacts,Generated Artifacts folder under physics,physics,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/runs,Generated Artifacts,Generated Artifacts folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/artifacts/temp_scripts,Generated Artifacts,Generated Artifacts folder under physics,physics,10,10,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/audits,Research,Research folder under physics,physics,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/benchmark,Testing,Testing folder under physics,physics,38,76,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/benchmark/diagnostic_logs,Testing,Testing folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/benchmark/equations_comparison,Testing,Testing folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/benchmark/reproducibility_figures,Testing,Testing folder under physics,physics,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/benchmark/sandbox_integrity_reports,Testing,Testing folder under physics,physics,30,30,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/config,Research,Research folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/core,Research,Research folder under physics,physics,12,55,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/core/autonomous,Research,Research folder under physics,physics,9,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/core/empirical,Research,Research folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/core/io,Research,Research folder under physics,physics,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/core/neurosymbolic,Research,Research folder under physics,physics,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/core/schemas,Research,Research folder under physics,physics,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/core/validation,Research,Research folder under physics,physics,17,17,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/data,Research,Research folder under physics,physics,8,144,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/data/mitdb,Research,Research folder under physics,physics,132,132,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/data/real,Research,Research folder under physics,physics,0,0,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/data/ucr,Research,Research folder under physics,physics,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/factories,Research,Research folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/figures,Generated Artifacts,Generated Artifacts folder under physics,physics,44,44,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive or move under owning domain; do not delete without approval
physics/legacy,Legacy Code,Legacy Code folder under physics,physics,11,11,see DOMAIN_DEPENDENCY_REPORT.md,High,Archive after owner review
physics/models,Research,Research folder under physics,physics,9,21,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/models/ptbxl,Research,Research folder under physics,physics,12,12,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/neurosymbolic,Research,Research folder under physics,physics,7,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/neurosymbolic/metrics,Research,Research folder under physics,physics,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/papers,Documentation,Documentation folder under physics,physics,19,20,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/papers/papers,Documentation,Documentation folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/results,Testing,Testing folder under physics,physics,0,9,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/results/phase8a,Research,Research folder under physics,physics,2,2,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/results/phase8b,Research,Research folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/results/phase8c,Research,Research folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/results/phase8e,Research,Research folder under physics,physics,5,5,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/symbolic_regression,Research,Research folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/tests,Testing,Testing folder under physics,physics,24,27,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/tests/neurosymbolic,Testing,Testing folder under physics,physics,3,3,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/unification_search,Research,Research folder under physics,physics,4,4,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/warp,Research,Research folder under physics,physics,5,6,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
physics/warp/data,Research,Research folder under physics,physics,1,1,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
plugins,Infrastructure,Infrastructure folder under <root>,<root>,3,3,see DOMAIN_DEPENDENCY_REPORT.md,Low,Keep
quantum,Core Product,QADE quantum optimization and knowledge platform,<root>,2,350,see DOMAIN_DEPENDENCY_REPORT.md,Low,Keep
quantum/analysis,Core Product,Core Product folder under quantum,quantum,11,11,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/audits,Core Product,Core Product folder under quantum,quantum,14,14,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
quantum/benchmarks,Testing,Testing folder under quantum,quantum,25,25,see DOMAIN_DEPENDENCY_REPORT.md,High,Keep
